time,strumento,open_interest,mm_net,prod_net,pubblicazione,data_entry,px_entry,ret_1w,ret_2w,ret_4w
2017-01-03,GOLD,424673,36557,-73229,2017-01-06,2017-01-09,1180.666,1.8930840728876852,3.1687623764892203,4.633147731873377
2017-01-10,GOLD,444001,55679,-72073,2017-01-13,2017-01-16,1203.017,1.2519773203537365,-0.6357349896136233,1.859533157054316
2017-01-17,GOLD,467937,58635,-75599,2017-01-20,2017-01-23,1218.0785,-1.8643708102556777,1.4194076982723125,1.5989117285954757
2017-01-24,GOLD,482374,59754,-85365,2017-01-27,2017-01-30,1195.369,3.346163402263236,2.5112329330943206,4.815584141800566
2017-01-31,GOLD,398433,69837,-89822,2017-02-03,2017-02-06,1235.368,-0.8078969181652629,0.1769917951573996,-0.806804126381766
2017-02-07,GOLD,415543,70149,-93223,2017-02-10,2017-02-13,1225.3875,0.9929104058920002,2.247901174118394,-1.732023543572947
2017-02-14,GOLD,415128,63625,-92430,2017-02-17,2017-02-20,1237.5545,1.2426523437957693,-0.9820577598804614,-0.27396773233017147
2017-02-21,GOLD,427168,78042,-95769,2017-02-24,2017-02-27,1252.933,-2.1974040112280435,-3.892426809733629,0.12295150658494514
2017-02-28,GOLD,446081,114246,-107349,2017-03-03,2017-03-06,1225.401,-1.733106142397467,0.7151128487735692,2.307367139409866
2017-03-07,GOLD,434401,90247,-97863,2017-03-10,2017-03-13,1204.1635,2.491397555232311,4.178004066723484,4.188592329862173
2017-03-14,GOLD,426170,46374,-88390,2017-03-17,2017-03-20,1234.164,1.645607877073063,1.5809487231842834,4.09576847161317
2017-03-21,GOLD,446880,56195,-98516,2017-03-24,2017-03-27,1254.4735,-0.06361234414278272,0.01016362641379498,1.6821001001615432
2017-03-28,GOLD,449418,91043,-113646,2017-03-31,2017-04-03,1253.6755,0.07382293105353543,2.4756805090312417,0.2386981320126269
2017-04-04,GOLD,427808,109126,-122877,2017-04-07,2017-04-10,1254.601,2.4000857643186935,1.6717665616399202,-2.278174495317642
2017-04-11,GOLD,456131,133011,-135644,2017-04-14,2017-04-17,1284.7125,-0.7112486256652839,-2.182939762787406,-4.226237387742405
2017-04-18,GOLD,472263,151236,-149780,2017-04-21,2017-04-24,1275.575,-1.4822335025380884,-3.8849930423534462,-1.189581169276599
2017-04-25,GOLD,475985,160380,-151674,2017-04-28,2017-05-01,1256.668,-2.438909879140705,-2.0888969879076957,0.8066171813080336
2017-05-02,GOLD,461905,143611,-153296,2017-05-05,2017-05-08,1226.019,0.35876279242001985,2.8043611069649144,4.361963395347046
2017-05-09,GOLD,433033,95962,-137986,2017-05-12,2017-05-15,1230.4175,2.4368557826916604,2.9572888877149373,2.884224257213508
2017-05-16,GOLD,435021,65868,-128589,2017-05-19,2017-05-22,1260.401,0.5080525959595406,1.515113047355543,-1.3224759421803012
2017-05-23,GOLD,462572,111048,-146835,2017-05-26,2017-05-29,1266.8045,1.0019699172208574,-0.07096596199334115,-1.7514541509759396
2017-05-30,GOLD,434246,124133,-156242,2017-06-02,2017-06-05,1279.4975,-1.0622920326143537,-2.7952379742828604,-4.62607390792088
2017-06-06,GOLD,494041,166049,-173956,2017-06-09,2017-06-12,1265.9055,-1.7515525447989622,-1.6816816105151733,-4.077792536646696
2017-06-13,GOLD,471134,147496,-166217,2017-06-16,2017-06-19,1243.7325,0.07111657852472142,-1.8834837877115929,-0.7788652302645582
2017-06-20,GOLD,445841,99376,-147934,2017-06-23,2017-06-26,1244.617,-1.953211309181857,-2.4370951063660495,0.8478511863488913
2017-06-27,GOLD,453144,72655,-139985,2017-06-30,2017-07-03,1220.307,-0.49352335109116297,1.1258232559511638,4.03177233269989
2017-07-03,GOLD,457201,33689,-128289,2017-07-06,2017-07-10,1214.2845,1.6273780979663366,3.367003367003374,3.585980056568294
2017-07-11,GOLD,475669,23222,-117637,2017-07-14,2017-07-17,1234.0455,1.711768326208385,2.8735974483923066,3.8736010949353306
2017-07-18,GOLD,484204,28913,-120798,2017-07-21,2017-07-24,1255.1695,1.1422760033605206,0.21184389837389794,2.9333488425268506
2017-07-25,GOLD,463827,73624,-137561,2017-07-28,2017-07-31,1269.507,-0.9199240335027725,0.9720702603451592,3.1896633890163617
2017-08-01,GOLD,448709,118458,-148536,2017-08-04,2017-08-07,1257.8285,1.9095608026054478,2.715751789691523,6.102739761422171
2017-08-08,GOLD,448727,135985,-149310,2017-08-11,2017-08-14,1281.8475,0.7910847429198897,2.196244092998567,3.5850988514624316
2017-08-15,GOLD,477921,176556,-162781,2017-08-18,2017-08-21,1291.988,1.3941305956401973,3.2974377470998073,1.1974182422746837
2017-08-22,GOLD,500443,194079,-179147,2017-08-25,2017-08-28,1310.0,1.8771374045801537,1.3590076335878054,0.03900763358777315
2017-08-29,GOLD,538875,221126,-188601,2017-09-01,2017-09-04,1334.5905,-0.5085829698323163,-2.0329831510114915,-4.753143379935643
2017-09-05,GOLD,566817,237188,-193794,2017-09-08,2017-09-11,1327.803,-1.5321926520726503,-1.3023016215507943,-3.3009038238353217
2017-09-12,GOLD,580606,253517,-191655,2017-09-15,2017-09-18,1307.4585,0.23346821333143364,-2.776608205920106,-0.9472193572491849
2017-09-19,GOLD,570096,233382,-189880,2017-09-22,2017-09-25,1310.511,-3.0030652165452976,-2.024973464549318,-2.1731599353229325
